Weather_Key,Temperature,Precipitation,Condition
2025060807,18.1,0.0,Cloudy
2025060808,19.0,0.0,Cloudy
2025060809,21.0,0.0,Cloudy
2025060810,22.2,0.0,Cloudy
2025060811,23.9,0.0,Cloudy
2025060812,24.2,0.1,Rain
2025060813,23.4,0.2,Rain
2025060814,23.2,0.0,Cloudy
2025060815,23.5,0.0,Cloudy
2025060816,21.6,0.0,Cloudy
2025060817,20.2,0.0,Cloudy
2025060818,19.2,0.5,Rain
2025060819,18.7,0.2,Rain
2025060820,18.0,0.1,Rain
2025060821,17.5,0.1,Rain
2025060822,17.0,0.0,Cloudy
2025060823,16.6,0.5,Rain
2025060900,16.4,0.5,Rain
2025060901,16.2,0.4,Rain
2025060902,15.9,0.1,Rain
2025060903,15.8,0.0,Cloudy
2025060904,15.6,0.0,Cloudy
2025060905,15.4,0.0,Cloudy
2025060906,15.2,0.2,Rain
2025060907,15.4,0.3,Rain
2025060908,15.7,0.2,Rain
2025060909,16.9,0.1,Rain
2025060910,17.6,0.0,Cloudy
2025060911,18.3,0.2,Rain
2025060912,19.6,0.6,Rain
2025060913,20.8,0.0,Cloudy
2025060914,21.1,0.1,Rain
2025060915,21.1,0.2,Rain
2025060916,21.1,0.1,Rain
2025060917,21.5,0.1,Rain
2025060918,21.0,0.0,Cloudy
2025060919,20.3,0.0,Cloudy
2025060920,19.3,0.0,Cloudy
2025060921,18.0,0.0,Cloudy
2025060922,17.8,0.0,Cloudy
2025060923,17.6,0.0,Cloudy
2025061000,17.6,0.0,Cloudy
2025061001,17.5,0.0,Cloudy
2025061002,17.5,0.0,Cloudy
2025061003,17.2,0.0,Cloudy
2025061004,17.1,0.0,Cloudy
2025061005,17.1,0.0,Cloudy
2025061006,17.2,0.0,Cloudy
2025061007,17.5,0.2,Rain
2025061008,17.9,0.3,Rain
2025061009,18.0,2.5,Rain
2025061010,17.9,5.5,Rain
2025061011,18.1,7.5,Rain
2025061012,19.5,1.5,Rain
2025061013,21.0,0.0,Cloudy
2025061014,22.7,0.0,Cloudy
2025061015,24.0,0.0,Cloudy
2025061016,24.5,0.0,Cloudy
2025061017,25.2,0.0,Clear
2025061018,25.6,0.0,Cloudy
2025061019,25.0,0.0,Cloudy
2025061020,23.9,0.0,Cloudy
2025061021,22.5,0.0,Cloudy
2025061022,22.9,0.0,Cloudy
2025061023,22.1,0.0,Cloudy
2025061100,20.9,0.0,Clear
2025061101,19.5,0.0,Clear
2025061102,18.8,0.0,Clear
2025061103,18.2,0.0,Clear
